ONS_ID,facility_type,popwt_avg_time_s
3047,splash_pad,123
3048,arena,187
3048,cmmt_centre,192
3048,fastfood,106
3048,gallery,1099
3048,library,187
3048,mall,234
3048,movie_theatre,434
3048,museum,462
3048,shade_structure,128
3048,splash_pad,129
3049,arena,592
3049,cmmt_centre,310
3049,fastfood,481
3049,gallery,1166
3049,library,570
3049,mall,1154
3049,movie_theatre,911
3049,museum,670
3049,shade_structure,244
3049,splash_pad,548
3050,arena,153
3050,cmmt_centre,199
3050,fastfood,148
3050,gallery,385
3050,library,277
3050,mall,239
3050,movie_theatre,341
3050,museum,593
3050,shade_structure,303
3050,splash_pad,154
3051,arena,339
3051,cmmt_centre,175
3051,fastfood,166
3051,gallery,807
3051,library,259
3051,mall,393
3051,movie_theatre,310
3051,museum,469
3051,shade_structure,258
3051,splash_pad,162
3052,arena,317
3052,cmmt_centre,107
3052,fastfood,107
3052,gallery,465
3052,library,246
3052,mall,496
3052,movie_theatre,272
3052,museum,473
3052,shade_structure,99
3052,splash_pad,116
3053,arena,251
3053,cmmt_centre,151
3053,fastfood,130
3053,gallery,490
3053,library,148
3053,mall,435
3053,movie_theatre,174
3053,museum,551
3053,shade_structure,138
3053,splash_pad,141
3054,arena,364
3054,cmmt_centre,133
3054,fastfood,88
3054,gallery,135
3054,library,121
3054,mall,348
3054,movie_theatre,430
3054,museum,201
3054,shade_structure,42
3054,splash_pad,77
3055,arena,84
3055,cmmt_centre,61
3055,fastfood,32
3055,gallery,274
3055,library,77
3055,mall,240
3055,movie_theatre,417
3055,museum,220
3055,shade_structure,49
3055,splash_pad,58
3056,arena,365
3056,cmmt_centre,216
3056,fastfood,111
3056,gallery,397
3056,library,339
3056,mall,543
3056,movie_theatre,342
3056,museum,372
3056,shade_structure,101
3056,splash_pad,103
3058,arena,267
3058,cmmt_centre,106
3058,fastfood,90
3058,gallery,541
3058,library,114
3058,mall,200
3058,movie_theatre,262
3058,museum,350
3058,shade_structure,130
3058,splash_pad,103
3059,arena,177
3059,cmmt_centre,119
3059,fastfood,60
3059,gallery,368
3059,library,139
3059,mall,228
3059,movie_theatre,488
3059,museum,300
3059,shade_structure,78
3059,splash_pad,77
3060,arena,333
3060,cmmt_centre,219
3060,fastfood,122
3060,gallery,1079
3060,library,192
3060,mall,423
3060,movie_theatre,389
3060,museum,799
3060,shade_structure,113
3060,splash_pad,147
3061,arena,189
3061,cmmt_centre,157
3061,fastfood,95
3061,gallery,952
3061,library,168
3061,mall,182
3061,movie_theatre,291
3061,museum,637
3061,shade_structure,113
3061,splash_pad,148
3062,arena,847
3062,cmmt_centre,635
3062,fastfood,732
3062,gallery,2059
3062,library,730
3062,mall,830
3062,movie_theatre,1405
3062,museum,824
3062,shade_structure,390
3062,splash_pad,864
3063,arena,178
3063,cmmt_centre,126
3063,fastfood,66
3063,gallery,475
3063,library,170
3063,mall,143
3063,movie_theatre,370
3063,museum,425
3063,shade_structure,104
3063,splash_pad,169
3065,arena,101
3065,cmmt_centre,80
3065,fastfood,83
3065,gallery,356
3065,library,142
3065,mall,325
3065,movie_theatre,258
3065,museum,447
3065,shade_structure,55
3065,splash_pad,92
3066,arena,255
3066,cmmt_centre,178
3066,fastfood,87
3066,gallery,643
3066,library,152
3066,mall,241
3066,movie_theatre,294
3066,museum,434
3066,shade_structure,137
3066,splash_pad,114
3067,arena,223
3067,cmmt_centre,55
3067,fastfood,80
3067,gallery,124
3067,library,93
3067,mall,174
3067,movie_theatre,96
3067,museum,176
3067,shade_structure,75
3067,splash_pad,93
3068,arena,254
3068,cmmt_centre,68
3068,fastfood,34
3068,gallery,52
3068,library,102
3068,mall,126
3068,movie_theatre,121
3068,museum,91
3068,shade_structure,168
3068,splash_pad,146
3069,arena,218
3069,cmmt_centre,180
3069,fastfood,115
3069,gallery,385
3069,library,246
3069,mall,296
3069,movie_theatre,352
3069,museum,348
3069,shade_structure,85
3069,splash_pad,74
3070,arena,712
3070,cmmt_centre,271
3070,fastfood,209
3070,gallery,1312
3070,library,262
3070,mall,997
3070,movie_theatre,626
3070,museum,283
3070,shade_structure,168
3070,splash_pad,424
3071,arena,1258
3071,cmmt_centre,732
3071,fastfood,767
3071,gallery,2289
3071,library,699
3071,mall,1592
3071,movie_theatre,1564
3071,museum,1311
3071,shade_structure,698
3071,splash_pad,1311
3072,arena,273
3072,cmmt_centre,279
3072,fastfood,135
3072,gallery,738
3072,library,363
3072,mall,387
3072,movie_theatre,449
3072,museum,427
3072,shade_structure,159
3072,splash_pad,312
3073,arena,864
3073,cmmt_centre,279
3073,fastfood,573
3073,gallery,1333
3073,library,322
3073,mall,1070
3073,movie_theatre,1289
3073,museum,612
3073,shade_structure,292
3073,splash_pad,901
3074,arena,573
3074,cmmt_centre,220
3074,fastfood,163
3074,gallery,1484
3074,library,186
3074,mall,740
3074,movie_theatre,844
3074,museum,382
3074,shade_structure,158
3074,splash_pad,422
3075,arena,838
3075,cmmt_centre,705
3075,fastfood,617
3075,gallery,1863
3075,library,359
3075,mall,1164
3075,movie_theatre,1256
3075,museum,725
3075,shade_structure,635
3075,splash_pad,830
3076,arena,390
3076,cmmt_centre,499
