ONS_ID,ONS_Name,rurality,pct_covered
3058,IRIS,urban,0.9710626438870714
3059,ISLAND PARK-WELLINGTON VILLAGE,urban,0.9667477491479111
3060,KANATA LAKES,suburban,1
3061,KATIMAVIK-HAZELDEAN,suburban,1
3062,KINBURN,rural,1
3063,LAURENTIAN,urban,0.9882577668108545
3064,LEBRETON DEVELOPMENT,urban,0.4656584751102709
3065,LEDBURY-HERON GATE-RIDGEMONT,urban,0.9797601197318334
3066,LESLIE PARK - BRUCE FARM,urban,0.597335718329021
3067,LOWERTOWN EAST,urban,1
3068,LOWERTOWN WEST,urban,1
3069,MANOR PARK,urban,0.9256240912430803
3070,MANOTICK,rural,1
3071,MARLBOROUGH,rural,0.7044981576234102
3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,suburban,1
3073,METCALFE,rural,1
3074,RICHMOND,rural,1
3075,MUNSTER - ASHTON,rural,0.9974144214925239
3076,NAVAN - SARSFIELD,rural,0.9825631872349797
3077,NEW EDINBURGH,urban,1
3078,NORTH GOWER - KARS,rural,1
3079,OLD BARRHAVEN EAST,suburban,1
3080,OLD BARRHAVEN WEST,suburban,1
3081,OLD HUNT CLUB,suburban,1
3082,OLD OTTAWA EAST,urban,0.9948471745305014
3083,OLD OTTAWA SOUTH,urban,1
3084,ORLEANS INDUSTRIAL,suburban,1
3085,ORLEANS VILLAGE - CHATEAUNEUF,suburban,1
3086,OSGOODE - VERNON,rural,0.9969563241503842
3087,OVERBROOK,urban,0.9360194241100327
3088,PARKWOOD HILLS,urban,0.7962011333346227
3089,PINEVIEW,urban,0.6225373466551326
3090,PLAYFAIR PARK - GUILDWOOD ESTATES,urban,0.5248570422968356
3091,PORTOBELLO SOUTH,suburban,1
3092,QUALICUM - REDWOOD,urban,0.6252404139314243
3093,QUEENSWAY TERRACE NORTH,urban,0.8668183028044619
3094,QUEENSWOOD - CHATELAINE,suburban,1
3095,QUEENSWOOD HEIGHTS,suburban,1
3097,RIDEAUCREST - DAVIDSON HEIGHTS,suburban,1
3098,RIVERSIDE PARK - MOONEYS BAY,urban,0.5031282953001239
3099,RIVERSIDE PARK SOUTH - REVELSTOKE,urban,0.7209847203414598
3100,RIVERSIDE SOUTH - LEITRIM,suburban,1
3101,RIVERVIEW,urban,0.4807617621227836
3102,ROCKCLIFFE PARK,urban,0.7143241381877746
3103,ROTHWELL HEIGHTS - BEACON HILL NORTH,urban,0.6357940047805253
3104,SANDY HILL,urban,1
3105,SOUTH KEYS,suburban,1
3106,STITTSVILLE,suburban,0.9977154372989875
3107,STITTSVILLE EAST,suburban,1
3108,STITTSVILLE NORTH,suburban,1
3109,STONEBRIDGE - HALF MOON BAY,suburban,1
3110,TREND-ARLINGTON,urban,0.6838573156619415
3111,VANIER NORTH,urban,1
3112,VANIER SOUTH,urban,1
3113,VARS,rural,1
3114,WATERRIDGE VILLAGE,urban,0.9520345190908635
3115,WEST CENTRETOWN,urban,1
3116,WESTBORO,urban,0.939031515762316
3117,WHITEHAVEN - WOODPARK - GLABAR PARK,urban,0.6761333947897812
